ARTICLE_TITLE	PUBLICATION_TITLE	ARTICLE_TEXT	CLUSTER_NUMBER	CLUSTER_LABEL
Deterring rule breakers a better answer	The New Zealand Herald	New Zealand’s approach to beating Covid-19 has relied a lot on trust, encouragement and unity — with everyone encouraged to be team players to get the best result. It has mostly been successful, and we have gone 86 days without any cases of community transmission of the virus. But since restrictions were introduced earlier this year, there has been at least some friction between those prepared to co-operate because they know it is for the common good, and those who prefer to act in their own int	5	disease transmission; transmission covid19; coronaviruses pandemics
EDITORIAL Deterring Covid rule breakers a better solution	Wanganui Chronicle	New Zealand’s approach to beating Covid-19 has relied a lot on trust, encouragement and unity — with everyone encouraged to be team players to get the best result. It has mostly been successful, and we have gone 86 days without any cases of community transmission of the virus. But since restrictions were introduced, there has been at least some friction between those prepared to co-operate because they know it is for the common good, and those who prefer to act in their own interests. With the c	5	disease transmission; transmission covid19; coronaviruses pandemics
EDITORIAL Deterring Covid rule breakers a better answer	The Northern Advocate	New Zealand’s approach to beating Covid-19 has relied a lot on trust, encouragement and unity — with everyone encouraged to be team players to get the best result. It has mostly been successful, and we have gone 86 days without any cases of community transmission. of the virus. But since restrictions were introduced earlier this year, there has been at least some friction between those prepared to co-operate because they know it is for the common good, and those who prefer to act in their own in	5	disease transmission; transmission covid19; coronaviruses pandemics
EDITORIAL Challenges, chances in Covid-19 recovery	Wanganui Chronicle	New Zealand’s careful climb out of Covid-19 restrictions has been a tale of two journeys. To envious overseas eyes, we have been a smooth success story and a source of hope. At home, there’s been both pride and frustration. The bottom line is we have got our coronavirus case numbers down in a controlled way and can safely reopen our economy. That’s important to head off any future waves of infection and to ensure that in level 2, people will jump back into more normal life with confidence. Many 	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
EDITORIAL Spread your support around	The Daily Post	New Zealand’s love affair with fast food has been highlighted this week as we emerged from level 4 lockdown. It seems getting a McDonald’s fix was the most important thing in the world for some people. People queued from 4am outside McDonald’s in Rotorua and from 3am in Tauranga on the first day of level 3 freedom. At one Auckland KFC outlet customers abused and swore at workers after they ran out of original chicken and had to offer alternatives. This behaviour shows a level of fast food obsess	1	coronaviruses covid19; social networks; demonstrations protests
EDITORIAL Fast food disgrace raises big issues	Wanganui Chronicle	New Zealand’s love affair with fast food has been highlighted this week as we emerged from level 4 lockdown. It seems getting a McDonald’s fix was the most important thing in the world for some people. We all saw amazing yet perhaps unsurprising scenes of people queuing outside fast food restaurants as soon as they were able. At one Auckland KFC outlet customers abused and swore at workers after they ran out of original chicken and had to offer alternatives. This behaviour shows a level of fast-	1	coronaviruses covid19; social networks; demonstrations protests
EDITORIAL Fast food disgrace raises big issues	The Northern Advocate	New Zealand’s love affair with fast food has been highlighted this week as we emerged from level 4 lockdown. It seems getting a McDonald’s fix was the most important thing in the world for some people. We all saw amazing yet perhaps unsurprising scenes of people queuing outside fast food restaurants as soon as they were able. At one Auckland KFC outlet customers abused workers after they ran out of original chicken and had to offer alternatives. This behaviour shows a level of fast-food obsessio	1	coronaviruses covid19; social networks; demonstrations protests
EDITORIAL World and Aussie cases dent travel plans	Wanganui Chronicle	New Zealand’s plan for travel with Australia is looking shakier, and the immediate problem is not with our own border security. While we have been consumed with fallout over quarantines, testing and tracing, the coronavirus threat has worsened beyond our closed borders. Cases are on the rise in the United States, parts of Europe, South America, Asia, and the Middle East as the world nears 10 million confirmed infections and 500,000 deaths from Covid-19. In one of the biggest outbreaks, India has	1	coronaviruses covid19; social networks; demonstrations protests
COMMENT Musk’s net dream stargazers’ nightmare	Wanganui Chronicle	New satellite tech promises to reach the last unserved parts of the world with affordable broadband, but could it mean we’ll end up cluttering the skies with shiny space junk? Internet access via satellite reaches remote areas but done the traditional way it’s a mixed bag. It works, but since the “birds” have traditionally gone in very high orbits, performance and responsiveness of the broadband service tends to be a bit iffy. SpaceX boss Elon Musk plans to launch O3b satellites from his Falcon 	1	coronaviruses covid19; social networks; demonstrations protests
COMMENT Musk’s net dream stargazers’ nightmare	The Northern Advocate	New satellite tech promises to reach the last unserved parts of the world with affordable broadband, but could it mean we’ll end up cluttering the skies with shiny space junk? Internet access via satellite reaches remote areas but, done the traditional way, it’s a mixed bag. It works, but since the “birds” have traditionally gone in very high orbits, performance and responsiveness of the broadband service tends to be a bit iffy. SpaceX boss Elon Musk plans to launch O3b satellites from his Falco	1	coronaviruses covid19; social networks; demonstrations protests
Containing mini-spike is vital	The Australian	Nobody should leave quarantine without COVID-19 testing The nation’s Deputy Chief Medical Officer, Michael Kidd, is correct. The resurgence in COVID-19 cases in Victoria is a concern, but it is not a second wave of the pandemic. Australia, fortunately, largely escaped a first wave compared with most of the world. But Victoria’s biggest single-day rise in infections for more than 12 weeks — 49 new infections reported on Sunday after 41 on Saturday — is a wake-up call. As Professor Kidd says, Aust	1	coronaviruses covid19; social networks; demonstrations protests
We are in this together Editorial	Wanganui Chronicle	None of us is untouched by what we’ve come to know as Covid-19. We’ve all seen some big events dominate headlines over the past 12 months, but none has dominated our lives in the same way this coronavirus has. We know in times like this people turn to trusted news sources for information, and it’s our responsibility to keep you in the know, whether via our website, app or this, New Zealand’s oldest continuously surviving newspaper. Of course there is so much coverage of Covid-19‘s effects on New	1	coronaviruses covid19; social networks; demonstrations protests
NSW sets standard as other states panic over borders	The Australian	Northern beaches Covid battle is not won yet; the approach is right When Scott Morrison declared the NSW system for COVID-19 testing, contact tracing and suppression to be “the gold standard”, many who would prefer a more heavy-handed approach sneered. The evidence is coming in, however. And so far it appears to vindicate the Prime Minister’s judgment and the integrated suite of measures being relied upon by the Berejiklian government, which learned its lesson after the Ruby Princess fiasco high	5	disease transmission; transmission covid19; coronaviruses pandemics
Angry Adam Bandt’s challenge	The Australian	Not long ago, when the Soviet Union’s admirers included former Greens senator Lee Rhiannon, Kremlinologists used to pore over the placement — or sudden disappearance — of politburo members in photos, decoding the shifts in power. On Tuesday, Adam Bandt was elected unopposed as the new leader of the Greens. It was a bloodless succession — this country being a democracy, for all its faults in the eyes of social justice warriors — but the deliberative processes of the party can be strangely furtive	1	coronaviruses covid19; social networks; demonstrations protests
Great in a crisis, Australia cannot lose it in recovery	The Australian	Nothing should be off the table in revitalising the economy As the Morrison government does whatever it takes to keep oxygen flowing to the economy’s failing organs, the door is ajar to every red-blooded rent-seeker and schemer in the land. In three escalating emergency moves, it has promised to pump $214bn into the economy to support businesses and top up family incomes. It’s likely Scott Morrison and Josh Frydenberg will do more on the fiscal front as companies hibernate over winter; a budget 	9	hotels motels; economic reform; motels quarantine
Sharing burden of coronavirus	The Australian	OK, boomers, Gen X and millennials, it’s time for sacrifices Defeating COVID-19 requires asking for something from each of us. At the simplest level, everyone is bearing part of the burden now. To flatten the curve of infections, entire industries have been shut down, with affected workers on a reduced, subsidised wage or on unemployment benefits. Some employees are being asked to work reduced hours or take annual leave. High-profile chief executives are taking a pay cut, symbolic gestures no do	8	gross domestic; domestic product; product gdp
Old Auckland suburbs have a charm that still draws people in [... ] [Derived headline ]	The New Zealand Herald	Old Auckland suburbs have a charm that still draws people in — streets of bungalows or villas, or 1930s old English-style houses in leafy suburbs. They speak of a time when kids walked everywhere, biked on the streets or wandered from house to house to play. It is easy to see why the family who have lived in this week’s cover house loved bringing up their now-grown kids in the house that sits next to their ‘own’ park, with gardens, attics and bedrooms, trees to climb and regular trick-or-treatin	1	coronaviruses covid19; social networks; demonstrations protests
Abraham Accord breakthrough	The Australian	On a rare day for Middle East peace, hope and history rhyme Donald Trump can take considerable credit for Tuesday’s historic signing in Washington of the Abraham Accord, or accords as he calls the agreement covering the normalisation of relations between Israel and the Arab states of Bahrain and the United Arab Emirates. The accord — named after the prophet of Judaism, Christianity and Islam — is not “the dawn of a new Middle East” as the US President claimed, at least not yet. But it is signifi	1	coronaviruses covid19; social networks; demonstrations protests
EDITORIAL Tale of two countries in virus response	The Northern Advocate	One could be described as heaping coal on a dying fire while the other is damping down the flames to leave it smouldering overnight for the next morning. The strategies of New Zealand Finance Minister Grant Robertson and his Australian counterpart Treasurer Josh Frydenberg for economic survival and recovery make an interesting comparison. Australia’s Government and central bank have unleashed a massive shot of fiscal and monetary stimulus worth A$189 billion. The measures include cash payments o	1	coronaviruses covid19; social networks; demonstrations protests
EDITORIAL Tale of two countries in virus response	Wanganui Chronicle	One could be described as heaping coal on a dying fire while the other is damping down the flames to leave it smouldering overnight for the next morning. The strategies of the New Zealand Finance Minister Grant Robertson and his Australian counterpart, Treasurer Josh Frydenberg, for economic survival and recovery make an interesting comparison. Australia’s Government and central bank have unleashed a massive shot of fiscal and monetary stimulus worth A$189 billion. The measures include cash paym	1	coronaviruses covid19; social networks; demonstrations protests
EDITORIAL Scammers’ vaccination certificates jeopardise all	The Northern Advocate	One thing we can be sure of when anything big captures the world’s attention, is people trying to make money out of it by dodgy means. The coronavirus pandemic has been a magnet for scammers since the start. British authorities estimated that £34.5 million ($68 million) has been stolen in Covid-related fraud and cybercrime in the past year in the UK. There have been cases around the globe of fake tests, protective gear and vaccines. And also profiteering on real jabs. The BBC reported people wer	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
EDITORIAL Scammers’ vaccination certificates threat to all	Hawkes Bay Today	One thing we can be sure of when anything big captures the world’s attention, is people trying to make money out of it by dodgy means. The coronavirus pandemic has been a magnet for scammers since the start. British authorities estimated that £34.5 million ($68 million) has been stolen in Covid-related fraud and cybercrime in the past year in the UK. There have been cases around the globe of fake tests, protective gear and vaccines. And profiteering on real jabs. The BBC reported people were pay	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
EDITORIAL Scammers’ vaccination certificates jeopardise all	Wanganui Chronicle	One thing we can be sure of when anything big captures the world’s attention, is people trying to profit from it dishonestly. The coronavirus pandemic has been a magnet for scammers since the start. British authorities reckon £34.5 million ($68m) has been stolen in Covid-related cybercrime and fraud in the past year in the UK. There have been cases around the globe of fake tests, protective gear and vaccines. And there’s been profiteering on real jabs. The BBC reported people were paying between	1	coronaviruses covid19; social networks; demonstrations protests
Pitching to overseas students	The Australian	Online courses and broadening the market base are keys to growth Now that more than 840,000 Australians have had their first injections against COVID-19, planning to kickstart the export of education services should be a priority, of universities and governments. Over-reliance on the nation’s two main sources for international students — China and India — which account for 55 per cent of Australia’s overseas student population is potentially fraught, as Education Minister Alan Tudge said last we	1	coronaviruses covid19; social networks; demonstrations protests
South Australia steals a march	The Australian	Opening the border tapped into pent-up demand for travel Too few Australians have enjoyed the wonders of Flinders Chase National Park on Kangaroo Island, the Limestone Coast and its crater lakes, the Riesling Trail in the Clare Valley, the Flinders Ranges or the pristine beaches along the Fleurieu Peninsula close to McLaren Vale’s wineries. But more of us will discover them in coming months. South Australian Premier Steven Marshall has done his state and other Australians an important service in	4	pandemics covid19; employment pandemics; coronaviruses employment
Premier must lead state to its full economic potential	The Australian	Opening the border to Sydney would be an important step Since her surprise election as Queensland Premier in February 2015, Annastacia Palaszczuk has honed her political skills to emerge as Australia’s most successful female politician. We congratulate her on a significant victory on Saturday and wish her success in tackling the state’s myriad of challenges over the coming four years. Voters delivered a clear result. They largely bypassed minor parties, especially those of Pauline Hanson and Cli	4	pandemics covid19; employment pandemics; coronaviruses employment
RBA fosters confidence in ongoing real estate growth	The Australian	Optimism about property values can be an elixir for the economy After a year without overseas holidays, with limited domestic travel and few chances for other spending, many people who kept their jobs during the pandemic or who benefited from JobKeeper have the savings to take Australians’ enduring love affair with residential property to the next level. Given current conditions it looks like a good move. Encouraged by some of the cheapest loans in history, buyers have the deposits to upgrade to	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
ALP needs rethink on Palestine	The Australian	Other nations should be encouraging the resumption of peace talks Those in the ALP campaigning for the party to “recognise Palestine as a state” have learned nothing from the electoral fate of British Labour under far-left former leader Jeremy Corbyn. His commitment to immediately recognise Palestinian statehood if he won government was far from the only reason British Labour suffered its worst defeat in almost 100 years in December 2019. But it contributed to the cataclysmic result. Michael Dan	7	prime ministers; politics prime; parents parenting
WHO fails in its responsibility	The Australian	Others should follow Morrison’s lead on China’s wet markets Scott Morrison deserves strong international backing for his argument on Friday that both China and the World Health Organisation should “do something” about the wet markets where the catastrophic coronavirus started and “went around the world … we all know that’’. Nor is this the first time such a virus has emerged from these markets. “All this money that comes out of the UN and WHO … this is why we have to be quite strident about thes	5	disease transmission; transmission covid19; coronaviruses pandemics
Unlock gas to fire up economy	The Australian	Our abundant resources are a major competitive advantage The decision by the NSW Independent Planning Commission to give Santos the green light for its $3.6bn coal-seam gas project is timely for two reasons. First, it comes as government and industry are seeking to kickstart productivity, including the expansion of manufacturing, as the national economy emerges from the pandemic. Second, as the Australian Energy Market Operator warned in March, NSW, Victoria and South Australia could experience 	2	climate change; national security; environmental policy
Old year ending and 2021 to start on challenging note	The Australian	Our communities owe immense gratitude to healthcare workers Few if any of the Twitterati demanding that NSW Premier Gladys Berejiklian impose a “big government” COVID-19 response earn their living in the industries that would be hardest hit by that approach — retail, hospitality, tourism and services. The announcement on Wednesday of 18 additional cases in NSW after 17,000 tests is a serious concern, including the emergence of six cases among three families in Croydon in Sydney’s inner west. It 	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
One word makes a difference	The Australian	Our national anthem should draw the nation together Regardless of whether our ancestors have been here for 60,000 years or if they arrived in convict chains or as postwar immigrants, Australians can take pride in our ancient land. The classical civilisations of ancient Egypt, Greece and Rome are recent by comparison. Without indulging the destructive cancel culture, the suggestion by Olympic gold medallist Cathy Freeman, NSW Premier Gladys Berejiklian and others that we change the words “young a	1	coronaviruses covid19; social networks; demonstrations protests
A helping hand for Indonesia	The Australian	Our northern neighbour is struggling with the pandemic The Morrison government’s provision of a $1.37bn standby loan to Indonesia sends a strong signal that despite our own economic challenges, Australia remains firmly committed to helping neighbours in need. Under pandemic pressure, there is a natural tendency of nations to turn inward. But a modest contribution to stability in the Asia-Pacific makes good humanitarian, economic and strategic sense. The region’s biggest economy is battling a sur	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
Queensland’s prosperity path	The Australian	Our third-largest state economy is too big to be left to fail Annastacia Palaszczuk’s prospects of setting our third-largest state economy back on to the path to prosperity depend on her ability to capitalise on the departure of Jackie Trad, her former deputy and treasurer. Ms Trad’s dominant Left faction has been influential in draining the energy from Queensland’s once-enterprising and winning business culture. But the promotion of Cameron Dick from the Right to Treasurer and the pragmatic Kat	4	pandemics covid19; employment pandemics; coronaviruses employment
Tech behemoths pilfering news content must pay up	The Australian	Our vibrant democracy needs strong, sustainable media The upcoming closure of Australian Associated Press — the nation’s news wire — after 85 years of good service needs to be understood by the Morrison government as a serious and overdue wake-up call. The closure of the agency that has been the “first responder” of Australian journalism since Joseph Lyons was prime minister and Don Bradman was batting should also concern every citizen with an interest in politics, finance, the courts, coronavir	1	coronaviruses covid19; social networks; demonstrations protests
Time to redouble vaccine efforts	The Australian	Oversight of the national program needs a shot in the arm Key reasons to support the federal government’s measured timetable for the rollout of a COVID-19 vaccine included the luxury of learning from the mistakes of others, allowing time to get proper systems in place and to get the messaging right to encourage participation. This makes Health Minister Greg Hunt’s admission that two elderly nursing home residents in Brisbane were given four times the recommended dose of vaccine by a doctor who h	1	coronaviruses covid19; social networks; demonstrations protests
Putting to rest wild ghosts and myths of the Dismissal	The Australian	Palace letters show John Kerr plotted alone in the 1975 crisis Australia’s 18th governor-general, Sir John Kerr, was proud and vain, a dangerous schemer who put himself at the centre of the single most dramatic event in our political history. The long-secret letters between Buckingham Palace and Kerr reveal he did not give the Queen advance notice of his decision to dismiss Gough Whitlam on November 11, 1975. The palace letters, made public on Tuesday by the National Archives of Australia, show 	1	coronaviruses covid19; social networks; demonstrations protests
Campus reform, not a bailout	The Australian	Pandemic disruption is a chance to rethink higher education On Wednesday we reported the striking image of Australia’s research system facing a “ground zero” scenario without the overseas student fees that subsidise fundamental scientific and medical investigation. But higher education is not the only sector facing a painful, post-pandemic adjustment. This crisis is an opportunity to refocus on what is indispensably valuable. International education has been a remarkable commercial achievement, 	2	climate change; national security; environmental policy
Looking out for the most vulnerable in community	The Australian	Pandemic is an opportunity to show true Australian spirit Australia in isolation — our borders closed, returned travellers and new arrivals in 14-day self-quarantine — is a daunting work in progress. Social distancing has entered the lexicon, with gatherings of more than 500 people scrubbed. Anzac Day services and agricultural shows have been halted. Scott Morrison says the comparator to the coronavirus pandemic is the Spanish flu of 100 years ago. This time, however, the states and territories 	5	disease transmission; transmission covid19; coronaviruses pandemics
Getting back to school will help vulnerable kids most	The Australian	Pandemic offers a chance to revamp teaching and learning Out of the coronavirus misery, there have been a few bright spots, such as building national resilience and a renewed focus on essentials. COVID-19 has produced a “teachable moment”, as they say in education, an opportunity for adapting to new modes of teaching and learning. That’s been enabled by technology, with experienced teachers skilling up on wonderful tools. For digital natives, who roam and soak up content platform to platform, th	7	prime ministers; politics prime; parents parenting
Shifting sands in school choices	The Australian	Parents are voting with their feet for a better education for children As the Catholic Church marks the bicentenary of the founding of the nation’s first Catholic school, by Irish priest John Therry in Parramatta, the sector has substantial achievements to celebrate. From the enrolment of 31 children in Parramatta in 1821, the sector grew to educate millions of Australians. For about 140 years, it did so without state aid, through the generosity of the faithful and the efforts of priests, brothe	7	prime ministers; politics prime; parents parenting
Hastie speaks from experience	The Australian	Parliament should play a stronger role overseeing the ADF The contribution of former military officer Andrew Hastie on Tuesday made two points clear. First, the army’s loss was parliament’s gain. Second, as a former officer he is willing to share the burden of recrimination that has been heaped exclusively on soldiers of the rank of sergeant and below in the elite Special Air Service Regiment. Mr Hastie served in the SAS for five years, including as a troop commander in the interminable war in A	1	coronaviruses covid19; social networks; demonstrations protests
Cold shower no dampener to state spending on mates	The Australian	Parties should pay for campaign research and polling Back in the Joh Bjelke-Petersen era, when the premier junked daylight saving after some of his followers complained it would fade the curtains and upset the cows, passengers flying into Queensland from the south were occasionally told by pilots to set their watches back a century and one hour. Six weeks from the October 31 election, “The Mates State” is in another time warp. Post Fitzgerald, ICAC and the creation of registers of MPs’ interests	6	political campaigns; diplomatic consular; consular services
Balancing the scales of justice	The Australian	Plaintiffs and defendants both deserve procedural fairness In its final report in December 2017, the Royal Commission into Institutional Responses to Child Sexual Abuse recommended jurors in child abuse trials be permitted to hear “tendency evidence” and “coincidence evidence”. That would include a defendant’s prior offending or acts for which a defendant had been charged but not convicted, other than acts for which they had been acquitted. On Tuesday, NSW became the first state to introduce leg	1	coronaviruses covid19; social networks; demonstrations protests
Spinning Gladys in Wonderland	The Australian	Playing political parlour games over Ruby Princess debacle As we confront the escalating medical, economic and social challenges of the coronavirus pandemic, Australians are recalibrating judgments on leaders. According to Newspoll, voters have marked up Scott Morrison’s leadership. Two months ago the Prime Minister’s standing seemed irreparably damaged by stumbles during Black Summer’s bushfires. Now, Mr Morrison has built a consensus on COVID-19 responses via a nine-member national cabinet and	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
Abuse in WA must be stopped	The Australian	Police are in a strong position to judge the best options While national attention focuses on the fire emergency, especially in the southeast, an ongoing tragedy at the opposite end of the continent is too serious to overlook. Children’s lives and safety are at stake from chronic abuse in their own homes. For several days, indigenous affairs editor Paige Taylor has reported on a proposal by Western Australia Police Commissioner Chris Dawson for blanket restrictions on alcohol sales across the Ki	1	coronaviruses covid19; social networks; demonstrations protests
Wake up, Australia, there will be no easy snapback	The Australian	Political leaders must abandon lazy ways on the economy Every ray of sunshine is welcome in the bleak midwinter of the coronavirus recession. The International Monetary Fund is forecasting Australia, alone among rich nations, will suffer a milder-than-anticipated drop in gross domestic product of 4.5 per cent this year, down from an April prediction of a 6.7 per cent contraction. That’s in line with the view of our top advisers. Treasury had initially expected a 20 per cent slump in GDP this qua	8	gross domestic; domestic product; product gdp
EDITORIAL Spread of virus puts emphasis on wise response	The Northern Advocate	Politicians, experts and officials walk a fine line with public health emergencies. They want the public to take it seriously and take precautions, but not panic. They want to show plans and measures are in place to slow and contain the threat, but also don’t want to provoke an over-reaction. With Covid-19 at large in the world, people look to the authorities for protection, expertise and competence. Prime Minister Jacinda Ardern’s approach to news of New Zealand’s first confirmed case, a person	1	coronaviruses covid19; social networks; demonstrations protests
Morrison ends a difficult year in the ascendancy	The Australian	Politics is fickle but our institutions have served us well in pandemic As parliament rises for the year it has been difficult for many writers to reflect on events without falling into cliches. From constant invocations of “unprecedented” and “new normal” to “this year like no other”, many have been bewildered by the era through which we are passing and unable to interpret events with clarity. For clear analysis, Paul Kelly wrote on Wednesday: “There have been multiple traumas — unjustified bor	4	pandemics covid19; employment pandemics; coronaviruses employment
McKenzie quits, falling down on accountability	The Australian	Pork-barrelling denies some communities a sporting chance Nationals deputy leader Bridget McKenzie had no alternative but to resign from cabinet as Agriculture Minister after Scott Morrison briefed her on the report into her conduct by the Department of Prime Minister and Cabinet Secretary Phil Gaetjens. The report found Senator McKenzie breached ministerial standards by failing to disclose her membership of the Wangaratta Clay Target Club that was given $36,000 in the Community Sports Infrastru	7	prime ministers; politics prime; parents parenting
Pricing workers out of jobs would hold back recovery	The Australian	Post-COVID, it makes sense to delay wage hikes in some sectors Fair Work Commission president Iain Ross has put an interesting question to the Morrison government, trade unions and employers. Justice Ross has asked whether low-paid workers in industries struggling in the wake of the COVID-19 pandemic should face a second successive year of delayed increases in the minimum wage. Sharp battlelines are being drawn. The ACTU is pitching for a 3.5 per cent or $26.38-a-week increase from July, to be p	4	pandemics covid19; employment pandemics; coronaviruses employment
Submarines show national security comes at high cost	The Australian	Post-pandemic, peak-value defence spending will be key On Saturday in The Weekend Australian, Australian Strategic Policy Institute CEO Peter Jennings called for a new Defence white paper to rethink the strategic changes accelerated by COVID-19. The 2016 Defence white paper concentrated on long-term investment proposals for the ADF. But the government now needed to focus on the capability of the defence force and what could be done quickly to increase deterrent capacity and strike power, Mr Jenn	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
Indigenous ready to take initiatives to close the gap	The Australian	Poverty and economic disengagement are bars to progress Warren Mundine is correct when he argues that economic fundamentals — jobs, creating the right environment for Aboriginal and Torres Strait Islander entrepreneurship, education and training — need to be the backbone of indigenous policy. In an essay published by the Centre for Independent Studies­ on Wednesday, Mr Mundine, the former head of the Abbott government’s indigenous advisory council and a former Labor Party president, points out t	1	coronaviruses covid19; social networks; demonstrations protests
Technology-first approach best to cut carbon dioxide	The Australian	Pragmatism is needed in managing the politics of climate change Scott Morrison was putting on a brave face when he declared the climate wars were over as regards a carbon-neutral future. On cue, the Australian Energy Market Operator said it was on alert for power shortages because of an overstretched electricity system, and the Nationals doubled down on plans for a new coal-fired power station in the NSW Hunter Valley. The Nationals want to kickstart manufacturing by sticking with fossil fuels f	2	climate change; national security; environmental policy
Leadership solidarity vital in coronavirus challenge	The Australian	Premiers have been exposed as unreliable and reckless At a historic, sombre and downsized sitting of parliament on Monday, Scott Morrison surveyed a crisis-swept land and looked to fortify a people in transition. “For many, young and old, 2020 will be the toughest year of our lives,” he warned, citing world wars and economic depression as progenitors. A century ago, our fledgling federation was confronted by the Spanish flu pandemic. Around 15,000 Australians died. Most of the victims were aged 	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
Hasten slowly on divisive issues	The Australian	President Joe Biden must concentrate on Covid-19 and the economy It is no surprise that US Republicans are dismayed over the blizzard of presidential executive orders signed by Joe Biden in his first few days in the White House. There is nothing unusual about his use of the orders. They are what incoming US presidents use to reverse the signature policies of their predecessors, giving immediate effect to the mandate given to them by voters. But the 29 issued so far by Mr Biden far outstrip the f	6	political campaigns; diplomatic consular; consular services
An extraordinary moment in US presidential history	The Australian	President Trump’s diagnosis will put him off the hustings In a private message to Donald Trump on Friday, Scott Morrison spoke for Australians when he wished the US President and wife Melania a “speedy and full recovery” from COVID-19. Mr Trump’s video message from hospital on Saturday US time, insisting he “feels much better now”, is hopefully a good sign he will be back on the campaign trail soon for the November 3 election. But nothing is certain amid the crisis that has followed his hospital	6	political campaigns; diplomatic consular; consular services
Biden’s chance for gun control	The Australian	President should follow John Howard’s lead on automatic weapons Joe Biden is entitled to feel devastated after the latest mass shooting, in which 10 people were mindlessly slaughtered at a grocery store in Boulder, Colorado, by a 21-year-old man armed with deadly weapons intended for use on wartime battlefields. But the US President also should feel determined following the horrifying bloodbath, which came days after last week’s killing by another allegedly troubled lone gunman of eight people, 	1	coronaviruses covid19; social networks; demonstrations protests
World still in the dark on Covid	The Australian	Preventing further pandemics will be hard without a real investigation After 2.8 million deaths and 127 million infections, the last thing the world needed was another inconclusive report on the origins of COVID-19. But that is what WHO investigators have delivered in their final account of how the virus emerged. The outcome shows the abysmal failure of the WHO in dealing with the crisis, and China’s unwillingness to allow access to the truth. As US Secretary of State Tony Blinken said after ear	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
Covid-19 spike must not hurt national bounce-back	The Australian	Preventing poverty and minimising unemployment is vital The feeling of deja vu watching Melbourne shoppers hoard toilet paper is disheartening. It raises the spectre of going backwards or a return to lockdown, compounding grave damage already inflicted on the unemployed, struggling businesses, consumption and government revenue. The mini-spike in coronavirus cases in Victoria is a wake-up call for the public to persevere with precautions and to authorities. A responsible approach is vital — no m	5	disease transmission; transmission covid19; coronaviruses pandemics
OUR VIEW Smooth work undercut by border gaps	Wanganui Chronicle	Prime Minister Jacinda Ardern has again shown herself to be a confident navigator through the latest coronavirus squall. Her disarming communication skills, command of her subject detail and political instincts set her apart. Even in a comparison with the leaders of much larger countries, her abilities stand out. Ardern makes it all look a bit effortless, yet even a star player needs good support. With the notable exception of the reliable Finance Minister Grant Robertson, Ardern cannot help but	1	coronaviruses covid19; social networks; demonstrations protests
Andrews emergency plan is a power grab too far	The Australian	Principles of responsible government must be maintained Victorian Premier Daniel Andrews’s plan to extend the sweeping emergency powers he is employing to suppress the spread of COVID-19 is ill conceived. In principle, it is a gross assault on the accountability of the executive to parliament and, ultimately, to the people. At its heart it is a naked attempt to govern by executive decree. It offends the principles of legality and the rule of law that were incorporated into our constitutional fra	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
The promise and pitfalls of Modern Monetary Theory	The Australian	Printing money doesn’t reduce deficits or create lasting jobs Invoking a Keatingism, last weekend Alan Kohler observed that every pet shop galah is now talking about Modern Monetary Theory, essentially governments printing money to pay for their spending, rather than funding themselves by taxation and borrowing. In our pages across a fortnight, we’ve published a range of commentators and policy advocates on the promise and pitfalls of MMT. It’s an idea, not that new, frankly, that has been behin	1	coronaviruses covid19; social networks; demonstrations protests
Fair play over Victorian border	The Australian	Problematic as it is, the diagnosis of a fourth COVID-19 case linked to the Australian Open tennis tournament will be handled sensibly by Victorian authorities. A total of 62 close contacts are now in hard quarantine in their hotel rooms, including 47 players. And COVID-19 Quarantine Victoria Commissioner Emma Cassar has warned there is “zero tolerance” for players breaching hotel quarantine rules. Amid serious concerns about training restrictions, two-time champion Victoria Azarenka showed the 	1	coronaviruses covid19; social networks; demonstrations protests
Covid menace in check as NSW gears up for 2021	The Australian	Professional testing and tracking are preventing a disaster unfolding Slowly but surely, NSW appears to be winning the battle against coronavirus on Sydney’s northern beaches. After the testing of another 24,000 people in 24 hours, seven new locally acquired cases were reported on Sunday morning. The skills and tireless work of the state’s testing and contact-tracing teams, outlined by NSW Chief Health Officer Dr Kerry Chant, are impressive and reassuring. Such efforts managed to avert a COVID-1	5	disease transmission; transmission covid19; coronaviruses pandemics
Biden’s project is to enlist the nation, not the Squad	The Australian	Progressives cannot suspend politics by demonising rivals Zoom back, for a moment, from the Trump team lawyering up and zone out Joe Biden’s Hallmark card slogans. Is the US election cause for hope or fear? It’s not only America looking for a way through polarised politics, economic challenges, bad actors abroad and elite-mainstream cultural conflict at home. Many nations, Australia included, are in uncharted territory with plenty of risks ahead. If we are to find our way, we need to understand 	6	political campaigns; diplomatic consular; consular services
